symbol,longName,industry,totalDebt_usd,Agency Rating
CL,Colgate-Palmolive Company,Household & Personal Products,"7,973,000,192",A+
KMB,Kimberly-Clark Corporation,Household & Personal Products,"7,105,999,872",A
NWL,Newell Brands Inc.,Household & Personal Products,"5,694,000,128",B+
CLX,The Clorox Company,Household & Personal Products,"4,486,000,128",BBB
HENOY,Henkel AG & Co. KGaA,Household & Personal Products,"4,276,816,718",A
COTY,Coty Inc.,Household & Personal Products,"3,424,999,936",BB+
CHD,"Church & Dwight Co., Inc.",Household & Personal Products,"2,377,400,064",BBB+
EPC,Edgewell Personal Care Company,Household & Personal Products,"1,279,500,032",BB-
SPB,"Spectrum Brands Holdings, Inc.",Household & Personal Products,"725,500,032",B+
LRLCY,L'Oral S.A.,Household & Personal Products,,AA
UL,Unilever PLC,Household & Personal Products,,A+
IBM,International Business Machines Corporation,Information Technology Services,"69,802,000,384",A-
FIS,"Fidelity National Information Services, Inc.",Information Technology Services,"21,145,999,360",BBB
LDOS,"Leidos Holdings, Inc.",Information Technology Services,"6,944,000,000",BBB
CDW,CDW Corporation,Information Technology Services,"6,146,299,904",BBB-
CACI,CACI International Inc,Information Technology Services,"5,616,314,880",BB+
BR,"Broadridge Financial Solutions, Inc.",Information Technology Services,"3,407,300,096",BBB
IT,"Gartner, Inc.",Information Technology Services,"3,355,174,912",BBB-
GIB,CGI Inc.,Information Technology Services,"3,159,178,139",BBB+
SAIC,Science Applications International Corporation,Information Technology Services,"2,675,000,064",BB+
WIT,Wipro Limited,Information Technology Services,"2,118,943,220",A-
G,Genpact Limited,Information Technology Services,"1,757,917,056",BBB-
INFY,Infosys Limited,Information Technology Services,"967,000,000",A
CNDT,Conduent Incorporated,Information Technology Services,"901,000,000",B-
FJTSY,Fujitsu Limited,Information Technology Services,"829,132,430",A-
UIS,Unisys Corporation,Information Technology Services,"765,299,968",B
BPOSF,bpost NV/SA,Integrated Freight & Logistics,"3,493,195,088",A-
PBI,Pitney Bowes Inc.,Integrated Freight & Logistics,"2,268,225,024",B+
FWRD,Forward Air Corporation,Integrated Freight & Logistics,"2,150,382,080",B
CHRW,"C.H. Robinson Worldwide, Inc.",Integrated Freight & Logistics,"1,644,486,016",BBB+
JBHT,"J.B. Hunt Transport Services, Inc.",Integrated Freight & Logistics,"1,567,938,048",BBB+
TNTFF,PostNL N.V.,Integrated Freight & Logistics,"1,280,276,849",BBB-
GOOG,Alphabet Inc.,Internet Content & Information,"95,875,997,696",AA+
META,"Meta Platforms, Inc.",Internet Content & Information,"86,769,000,448",AA-
SNAP,Snap Inc.,Internet Content & Information,"4,201,579,008",BB-
MTCH,"Match Group, Inc.",Internet Content & Information,"3,974,202,112",BB
TCTZF,Tencent Holdings Limited,Internet Content & Information,,A+
AMZN,"Amazon.com, Inc.",Internet Retail,"235,540,004,864",AA
NPSNY,Naspers Limited,Internet Retail,"18,168,999,936",BBB-
